óßÇø	0	-10	1	 	-1	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	1	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	0	 	0	-10	1	 	0	-10	1	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	0	 	0	-10	1	 	0	-10	1	 																				 																 																																																
ãt	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	0	 	0	10	0	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	0	 	0	10	-1	 	0	10	-1	 	0	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 	-1	10	-1	 																				 																																																																
âE	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	0	 	10	0	-1	 	10	0	0	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	-1	 	10	0	0	 	10	0	0	 	10	0	-1	 	10	0	0	 																				 																																																																
ç∂	-10	1	-1	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	0	0	 	-10	0	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	0	0	 	-10	1	0	 	-10	0	0	 	-10	0	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 	-10	1	0	 																				 																																																																 
ã¬å¸ÇØ	-1	0	-10	 	-1	0	-10	 	0	0	-10	 	-1	0	-10	 	0	0	-10	 	0	0	-10	 	-1	0	-10	 	0	0	-10	 	-1	0	-10	 	0	0	-10	 	0	0	-10	 	0	0	-10	 	0	0	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	0	-10	 	0	0	-10	 	0	-1	-10	 	-1	0	-10	 	0	0	-10	 	0	0	-10	 	0	0	-10	 	0	-1	-10	 	0	0	-10	 	0	-1	-10	 	-1	0	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	-1	-1	-10	 	0	-1	-10	 	0	0	-10	 	0	-1	-10	 	0	-1	-10	 	0	0	-10	 	0	-1	-10	 	0	0	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	0	-10	 	0	-1	-10	 	0	0	-10	 	0	0	-10	 	0	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	0	-10	 	0	-1	-10	 	0	-1	-10	 	0	-1	-10	 	0	0	-10	 	-1	-1	-10	 	0	0	-10	 	-1	-1	-10	 	0	-1	-10	 	-1	0	-10	 	0	-1	-10	 	0	-1	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	0	0	-10	 	0	0	-10	 	0	0	-10	 	0	0	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	-1	-10	 	0	-1	-10	 	-1	0	-10	 	-1	0	-10	 	0	-1	-10	 	-1	-1	-10	 	0	-1	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	0	-10	 	0	-1	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	0	-10	 	-1	-1	-10	 	-1	-1	-10	 	-1	0	-10	 																				 																																																																
Ç§Ç¬ïöÇπ	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	0	10	 	0	-1	10	 	0	0	10	 	0	0	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	-1	10	 	0	0	10	 	0	-1	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	-1	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 	0	0	10	 																																																																																				
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
0.1ïbÇ≤Ç∆Ç…åvë™																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
